commute,date,Google estimate,mph,mpg,time,avg speed,ev perc,tires,traffic_pattern,year
morning,21Jun,,78,46.1,39,,,new,0,2023
morning,22Jun,,69,51.1,45,,,new,0,2023
night,22Jun,,73,51.9,38,,,new,0,2023
morning,23Jun,,77,49,38.5,,,new,0,2023
night,23Jun,,80,46,47,,,new,0,2023
morning,24Jun,,76,47.4,36.5,,,new,0,2023
night,24Jun,,74,50.8,40.5,,,new,0,2023
morning,26Jun,,76,49,38,,,new,0,2023
night,26Jun,,78,49.1,39.5,,,new,0,2023
morning,27Jun,,69,52.9,42.5,,,new,0,2023
night,27Jun,,66,52.4,51,,,new,0,2023
morning,28Jun,,72,50.2,43,,,new,0,2023
morning,05Jul,,69,52.8,40.5,,,new,0,2023
night,05Jul,,72,49.4,39.5,,,new,0,2023
morning,06Jul,,80,47.3,36,,,,0,2023
morning,07Jul,,77,49.4,36.5,,,,0,2023
morning,10Jul,,68,51.2,46,,,,0,2023
morning,11Jul,,66,59.2,41.5,,,,0,2023
night,11Jul,,65,54,,,,,0,2023
morning,12Jul,,65,57.1,43,,,,0,2023
night,12Jul,,67,53.9,46.5,,,,0,2023
morning,13Jul,,69,54.7,40.5,,,,0,2023
night,13Jul,,68,50.1,58,,,,0,2023
morning,17Jul,,68,53.2,43,,,,0,2023
night,17Jul,,65,52.2,52.5,,,,0,2023
morning,18Jul,,65,58.2,43.5,,,,0,2023
morning,19Jul,,65,59.2,43.5,,,,0,2023
morning,20Jul,,80,48.1,37.5,,,,0,2023
morning,21Jul,,67,56,40.5,,,,0,2023
night ,21Jul,,74,49.6,54,,,,0,2023
morning,24Jul,,80,47.4,36.5,,,,0,2023
morning ,25Jul,,74,52.5,41,,,,0,2023
morning,26Jul,,72,54.3,43,,,,0,2023
night,26Jul,,82,47.1,43.5,,,,0,2023
morning,27Jul,,67,54.9,44.5,,,,0,2023
night,27Jul,,67,50.7,45,,,,0,2023
morning,28Jul,,68,55.6,42,,,,0,2023
morning,29Jul,,65,55,41.5,,,,0,2023
night,29Jul,,69,53.2,40,,,,0,2023
morning,30Jul,,77,49,36.5,,,,0,2023
night,30Jul,,67,53.4,39,,,,0,2023
morning,30Jul,,69,56.3,41.5,,,,0,2023
night,30Jul,,70,52.6,39,,,,0,2023
morning,01Aug,,66,57.5,45,,,,0,2023
night,01Aug,,68,53.8,51.5,,,,0,2023
morning,02Aug,,67,55,45,,,,0,2023
night,02Aug,,67,55.4,46,,,,0,2023
morning,03Aug,,65,57.9,44,,,,0,2023
night,04Aug,,66,46.5,118,,,,0,2023
night,05Aug,,65,54.6,41.5,,,,0,2023
morning,06Aug,,68,55.5,40.5,,,,0,2023
night,06Aug,,67,51.9,40.5,,,,0,2023
morning,07Aug,,67,56.3,41.5,,,,0,2023
night,07Aug,,66,58.4,42.5,,,,0,2023
morning,08Aug,,67,52.2,41,,,,0,2023
morning,09Aug,,66,57,43,,,,0,2023
night,09Aug,,67,53.6,49,,,,0,2023
morning,10Aug,,85,46.7,41.5,,,,0,2023
night,10Aug,,67,53.8,50.5,,,,0,2023
morning,11Aug,,67,59,41,,,,0,2023
night,11Aug,,66,49.5,46,,,,0,2023
morning,13Aug,,67,56,39,58,,,0,2023
morning,21Aug,,69,56.9,41,56,10,,0,2023
night,21Aug,,69,52.8,40,57,7,,0,2023
morning,22Aug,,65,54.8,43,53,6,,0,2023
night,22Aug,,67,52.5,71,33,17,,0,2023
morning,23Aug,,80,38.5,38,61,8,,0,2023
night,23Aug,,67,55.1,51,45,14,,0,2023
morning,24Aug,,65,58.2,43,53,9,,0,2023
night,24Aug,,68,54.8,50,45,15,,0,2023
morning,25Aug,,69,51,40,58,7,,0,2023
night,25Aug,,70,50.3,49,46,13,,0,2023
morning,28Aug,,66,56.2,42,56,10,,0,2023
morning,29Aug,,69,55.5,43,54,11,,0,2023
night,29Aug,,67,53.7,66,34,16,,0,2023
morning,30Aug,,69,51.4,52,44,14,,0,2023
night,30Aug,,66,56.3,43,53,11,,0,2023
morning,31Aug,,77,49.5,42,54,11,,0,2023
morning,01Sep,,67,52.9,42,55,7,,0,2023
morning,04Sep,,75,49.6,39,59,8,,0,2023
morning,06Sep,,67,54.9,43,53,9,,0,2023
morning,07Sep,,68,54.8,62,37,15,,0,2023
night,07Sep,,67,53.6,42,54,9,,0,2023
morning,08Sep,,75,51.4,38,60,9,,0,2023
night,08Sep,,78,49.1,41,56,17,,0,2023
morning,09Sep,,75,50.1,38,60,8,,0,2023
morning,10Sep,,68,53.4,41,56,8,,0,2023
night,10Sep,,65,54.9,43,53,11,,0,2023
morning,11Sep,,68,53.5,41,56,10,,0,2023
night,11Sep,,66,53.3,62,37,15,,0,2023
morning,12Sep,,65,57.5,44,51,10,,0,2023
morning,13Sep,,67,56.9,51,45,10,,0,2023
morning,14Sep,,69,55.8,47,49,10,,0,2023
night,14Sep,,67,52.8,71,32,18,,0,2023
morning,15Sep,,67,46.8,122,19,15,,0,2023
night,15Sep,,69,54.5,44,50,13,,0,2023
morning,18Sep,,65,53.5,45,51,10,,0,2023
night,18Sep,,67,52.2,47,48,19,,0,2023
morning,19Sep,,72,52.4,41,55,10,,0,2023
morning,20Sep,,68,52.9,45,51,9,,0,2023
night,20Sep,,68,54.1,49,47,12,,0,2023
morning,21Sep,55,67,54.9,45,51,9,,0,2023
night,21Sep,53,65,55.9,58,39,15,,0,2023
morning,25Sep,42,66,50.1,44,52,11,,0,2023
night,25Sep,42,69,53.1,41,55,10,,0,2023
morning,26Sep,47,72,48.8,41,55,12,,0,2023
night,26Sep,46,67,55.8,45,50,10,,0,2023
morning,27Sep,47,67,53.1,45,51,11,,0,2023
night,27Sep,61,68,58.5,56,42,23,,0,2023
morning,28Sep,49,65,54.8,45,50,8,,0,2023
night,28Sep,40,67,54.7,41,58,6,,0,2023
morning,29Sep,44,69,51.1,43,53,11,,0,2023
night,29Sep,56,67,52.6,65,35,18,,0,2023
morning,02Oct,43,67,55.3,44,52,9,,0,2023
night,02Oct,54,65,58.6,49,45,10,,0,2023
morning,03Oct,46,78,47.9,46,50,9,,0,2023
night,03Oct,51,68,57.3,44,51,13,,0,2023
morning,04Oct,42,69,53.6,45,51,11,,0,2023
morning,05Oct,49,69,52.5,48,48,11,,0,2023
night,05Oct,59,66,55.9,56,40,15,,0,2023
morning,06Oct,48,69,51.2,43,53,12,,0,2023
night,06Oct,46,65,58,48,47,14,,0,2023
morning,10Oct,44,67,54.4,49,47,9,,0,2023
night,10Oct,43,68,52.8,40,56,7,,0,2023
morning,11Oct,48,73,50.5,46,49,10,,0,2023
night,11Oct,40,76,48.7,38,60,7,,0,2023
morning,12Oct,46,69,51.2,47,49,9,,0,2023
night,12Oct,55,67,55.8,49,46,12,,0,2023
morning,13Oct,51,68,52.1,41,56,6,,0,2023
night,13Oct,44,69,51.7,48,47,14,,0,2023
morning,17Oct,51,69,48.3,60,38,11,,0,2023
night,17Oct,46,65,55.7,48,47,15,,0,2023
morning,18Oct,51,70,51.8,46,49,10,,0,2023
night,18Oct,46,67,57.8,54,42,14,,0,2023
morning,19Oct,49,69,50.8,52,44,11,,0,2023
night,19Oct,50,68,54.5,55,41,16,,0,2023
morning,20Oct,43,73,52.1,40,58,12,,0,2023
night,20Oct,53,76,52.3,57,40,16,,0,2023
morning,23Oct,51,67,51.3,58,40,10,,0,2023
morning,24Oct,49,68,52.6,47,49,10,,0,2023
morning,25Oct,50,69,53.3,49,46,13,,0,2023
night,25Oct,50,67,55.8,51,44,13,,0,2023
morning,26Oct,47,69,54.3,45,51,10,,0,2023
night,26Oct,63,68,54.3,62,37,16,,0,2023
morning,27Oct,43,68,54.8,41,56,9,,0,2023
night,27Oct,54,68,55.8,57,40,16,,0,2023
morning,02Nov,46,67,50.9,45,51,6,,0,2023
night,02Nov,60,67,52.1,70,33,16,,0,2023
morning,03Nov,43,69,51.1,44,52,9,,0,2023
morning,06Nov,44,69,50.8,42,54,10,,0,2023
night,06Nov,44,72,49.9,39,58,9,,0,2023
morning,07Nov,50,82,43.3,44,51,9,,0,2023
night,07Nov,49,68,54.6,54,42,16,,0,2023
morning,08Nov,46,67,51.4,46,49,8,,0,2023
morning,09Nov,50,68,49.3,47,49,10,,0,2023
night,09Nov,48,67,51.8,61,37,18,,0,2023
morning,10Nov,42,66,54.9,40,57,8,,0,2023
morning,14Nov,48,68,50.6,49,47,10,,0,2023
night,14Nov,50,68,51.8,42,54,10,,0,2023
morning,15Nov,54,67,51.8,46,50,15,,0,2023
night,15Nov,48,65,54.2,52,44,17,,0,2023
morning,16Nov,52,76,48.8,46,50,10,,0,2023
night,16Nov,52,68,51.5,58,39,13,,0,2023
morning,17Nov,48,71,50.8,41,56,9,,0,2023
night,17Nov,57,65,55.3,54,42,15,,0,2023
morning,20Nov,47,69,50.2,44,52,10,,0,2023
night,20Nov,61,65,51.5,62,37,14,,0,2023
morning,28Nov,46,66,53.5,45,51,11,,0,2023
morning,29Nov,46,68,50.8,45,51,7,,0,2023
morning,30Nov,48,69,50.5,43,53,9,,0,2023
night,30Nov,53,67,53.9,54,42,20,,0,2023
morning,01Dec,42,68,53.3,40,57,9,,0,2023
night,01Dec,41,72,53.3,41,57,13,,0,2023
morning,04Dec,48,65,51.7,54,43,6,,0,2023
night,04Dec,50,67,56.7,46,49,14,,0,2023
morning,05Dec,47,68,50.1,48,47,10,,0,2023
night,05Dec,49,69,52.2,46,49,12,,0,2023
morning,06Dec,46,67,48.9,46,50,10,,0,2023
night,06Dec,50,68,51.5,52,44,16,,0,2023
morning,07Dec,46,69,49.3,41,57,8,,0,2023
night,07Dec,50,69,50.8,47,48,13,,0,2023
morning,08Dec,43,69,49.2,40,58,7,,0,2023
night,08Dec,39,69,52.2,42,55,9,,0,2023
morning,11Dec,47,65,49.4,44,52,11,,0,2023
night,11Dec,41,74,45.4,43,53,11,,0,2023
morning,20Dec,47,66,48.2,50,46,12,,1,2023
night,20Dec,56,68,49.7,82,25,19,,1,2023
morning,02Jan,44,66,51.3,42,54,8,,1,
night,02Jan,59,66,49.6,81,28,14,,1,
morning,03Jan,56,68,47.1,54,42,11,,1,
night,03Jan,50,67,48.3,59,39,12,,1,
morning,04Jan,46,68,49.4,43,53,9,,1,
night,04Jan,50,66,47.4,53,45,9,,1,
morning,08Jan,47,70,42.3,45,51,10,,1,
night,08Jan,59,67,45.4,65,35,12,,1,
morning,11Jan,52,77,47,45,51,10,,1,
night,11Jan,62,78,44.3,84,31,12,,1,
morning,12Jan,47,69,51.4,44,52,10,,1,
night,12Jan,62,73,49.7,71,32,16,,1,
morning,16Jan,49,69,42.1,46,50,12,,1,
night,16Jan,60,69,47.1,61,38,15,,1,
morning,17Jan,52,68,47.5,50,46,10,,1,
morning,18Jan,52,67,50,49,46,10,,1,
night,18Jan,57,69,45.4,79,29,12,,1,
morning,19Jan,46,69,47.5,42,55,8,,1,
night,19Jan,49,73,44.3,56,38,13,,1,
morning,22Jan,50,67,49.2,54,43,13,,1,
night,22Jan,49,69,48.9,60,38,12,,1,
morning,23Jan,52,75,45.4,50,46,10,,1,
night,23Jan,59,67,44.7,76,30,13,,1,
morning,24Jan,52,67,43.5,49,47,9,,1,
night,24Jan,52,65,50.7,51,45,11,,1,
morning,26Jan,48,69,46.3,46,50,11,,1,
night,26Jan,61,69,49.6,77,30,16,,1,
morning,29Jan,51,68,46.5,50,46,12,,1,
night,29Jan,45,69,48.8,53,43,12,,1,
morning,30Jan,53,69,44.1,56,41,10,,1,
night,30Jan,58,69,49.4,59,38,11,,1,
morning,06Feb,47,69,47,45,52,8,,2,
night,06Feb,57,68,48.6,69,33,14,,,
morning,07Feb,47,76,43.1,40,57,10,,,
night,07Feb,57,68,47.5,61,38,11,,,
morning,08Feb,42,66,48.8,59,39,10,,,
night,08Feb,58,66,49.9,76,30,13,,,
